Expression,Sex
Anger,Male1
Anger,Female1
Anger,Male2
Anger,Female2
Anger,Male3
Anger,Female3
Anger,Male4
Anger,Female4
Disgust,Male1
Disgust,Female1
Disgust,Male2
Disgust,Female2
Disgust,Male3
Disgust,Female3
Disgust,Male4
Disgust,Female4
Fear,Male1
Fear,Female1
Fear,Male2
Fear,Female2
Fear,Male3
Fear,Female3
Fear,Male4
Fear,Female4
Happiness,Male1
Happiness,Female1
Happiness,Male2
Happiness,Female2
Happiness,Male3
Happiness,Female3
Happiness,Male4
Happiness,Female4
Sadness,Male1
Sadness,Female1
Sadness,Male2
Sadness,Female2
Sadness,Male3
Sadness,Female3
Sadness,Male4
Sadness,Female4
Surprise,Male1
Surprise,Female1
Surprise,Male2
Surprise,Female2
Surprise,Male3
Surprise,Female3
Surprise,Male4
Surprise,Female4
Anger,Male1
Anger,Female1
Anger,Male2
Anger,Female2
Anger,Male3
Anger,Female3
Anger,Male4
Anger,Female4
Disgust,Male1
Disgust,Female1
Disgust,Male2
Disgust,Female2
Disgust,Male3
Disgust,Female3
Disgust,Male4
Disgust,Female4
Fear,Male1
Fear,Female1
Fear,Male2
Fear,Female2
Fear,Male3
Fear,Female3
Fear,Male4
Fear,Female4
Happiness,Male1
Happiness,Female1
Happiness,Male2
Happiness,Female2
Happiness,Male3
Happiness,Female3
Happiness,Male4
Happiness,Female4
Sadness,Male1
Sadness,Female1
Sadness,Male2
Sadness,Female2
Sadness,Male3
Sadness,Female3
Sadness,Male4
Sadness,Female4
Surprise,Male1
Surprise,Female1
Surprise,Male2
Surprise,Female2
Surprise,Male3
Surprise,Female3
Surprise,Male4
Surprise,Female4
